income_band,party_affiliation,voters
1: under $35K,AMF,231
1: under $35K,ASP,110
1: under $35K,BPP,104
1: under $35K,CPF,209
1: under $35K,CPP,120
1: under $35K,CSV,289
1: under $35K,DEM,75844
1: under $35K,ECO,29
1: under $35K,FFP,25
1: under $35K,GRE,84
1: under $35K,IND,2171
1: under $35K,LPF,192
1: under $35K,NPA,33618
1: under $35K,PSL,33
1: under $35K,REP,24342
2: $35-55K,AMF,4664
2: $35-55K,ASP,2100
2: $35-55K,BPP,6562
2: $35-55K,CPF,4263
2: $35-55K,CPP,2070
2: $35-55K,CSV,7809
2: $35-55K,DEM,1017057
2: $35-55K,ECO,933
2: $35-55K,FFP,433
2: $35-55K,GRE,2047
2: $35-55K,IND,50941
2: $35-55K,JEF,20
2: $35-55K,LPF,5427
2: $35-55K,MGT,10
2: $35-55K,NPA,749238
2: $35-55K,PSL,561
2: $35-55K,REP,770424
3: $55-80K,AMF,7541
3: $55-80K,ASP,3238
3: $55-80K,BPP,6876
3: $55-80K,CPF,7988
3: $55-80K,CPP,3392
3: $55-80K,CSV,16476
3: $55-80K,DEM,1431859
3: $55-80K,ECO,1604
3: $55-80K,FFP,708
3: $55-80K,GRE,4009
3: $55-80K,IND,115599
3: $55-80K,JEF,43
3: $55-80K,LPF,14489
3: $55-80K,MGT,21
3: $55-80K,NPA,1297856
3: $55-80K,PSL,954
3: $55-80K,REP,2001474
4: $80-120K,AMF,4541
4: $80-120K,ASP,1729
4: $80-120K,BPP,3297
4: $80-120K,CPF,4647
4: $80-120K,CPP,2029
4: $80-120K,CSV,10690
4: $80-120K,DEM,1034524
4: $80-120K,ECO,1151
4: $80-120K,FFP,462
4: $80-120K,GRE,2872
4: $80-120K,IND,89570
4: $80-120K,JEF,26
4: $80-120K,LPF,10797
4: $80-120K,MGT,20
4: $80-120K,NPA,974220
4: $80-120K,PSL,642
4: $80-120K,REP,1490248
5: $120-200K,AMF,1598
5: $120-200K,ASP,565
5: $120-200K,BPP,747
5: $120-200K,CPF,1593
5: $120-200K,CPP,776
5: $120-200K,CSV,3910
5: $120-200K,DEM,427887
5: $120-200K,ECO,502
5: $120-200K,FFP,174
5: $120-200K,GRE,1140
5: $120-200K,IND,41134
5: $120-200K,LPF,4758
5: $120-200K,NPA,439701
5: $120-200K,PSL,259
5: $120-200K,REP,696913
6: $200K+,AMF,801
6: $200K+,ASP,279
6: $200K+,BPP,336
6: $200K+,CPF,841
6: $200K+,CPP,405
6: $200K+,CSV,2033
6: $200K+,DEM,293866
6: $200K+,ECO,305
6: $200K+,FFP,96
6: $200K+,GRE,699
6: $200K+,IND,27583
6: $200K+,LPF,2469
6: $200K+,NPA,310019
6: $200K+,PSL,136
6: $200K+,REP,445137
unknown,AMF,997
unknown,ASP,450
unknown,BPP,687
unknown,CPF,1544
unknown,CPP,524
unknown,CSV,3134
unknown,DEM,737108
unknown,ECO,363
unknown,FFP,111
unknown,GRE,1214
unknown,IND,33385
unknown,LPF,5265
unknown,NPA,566471
unknown,PSL,226
unknown,REP,809941
