election_year,party,voters_who_voted
2016,AMF,3294
2016,ASP,1303
2016,BPP,2554
2016,CPF,3649
2016,CPP,1686
2016,CSV,7965
2016,DEM,2656933
2016,ECO,800
2016,FFP,440
2016,GRE,3299
2016,IND,120571
2016,JEF,27
2016,LPF,16859
2016,MGT,16
2016,NPA,1586438
2016,PSL,618
2016,REP,3171425
2018,AMF,2520
2018,ASP,1061
2018,BPP,1804
2018,CPF,2961
2018,CPP,1397
2018,CSV,6378
2018,DEM,2532281
2018,ECO,679
2018,FFP,433
2018,GRE,2974
2018,IND,116016
2018,JEF,24
2018,LPF,14741
2018,NPA,1362127
2018,PSL,722
2018,REP,2947633
2020,AMF,4932
2020,ASP,1945
2020,BPP,3761
2020,CPF,5294
2020,CPP,2349
2020,CSV,11392
2020,DEM,3368210
2020,ECO,1285
2020,FFP,643
2020,GRE,4891
2020,IND,196319
2020,JEF,45
2020,LPF,24021
2020,MGT,24
2020,NPA,2258229
2020,PSL,1199
2020,REP,4064276
2022,AMF,2214
2022,ASP,763
2022,BPP,1014
2022,CPF,2651
2022,CPP,1027
2022,CSV,5927
2022,DEM,2322258
2022,ECO,636
2022,FFP,429
2022,GRE,2645
2022,IND,129185
2022,JEF,31
2022,LPF,15400
2022,MGT,11
2022,NPA,1399122
2022,PSL,703
2022,REP,3443394
2024,AMF,5080
2024,ASP,2267
2024,BPP,4945
2024,CPF,8449
2024,CPP,3118
2024,CSV,19263
2024,DEM,3342986
2024,ECO,1767
2024,FFP,771
2024,GRE,5792
2024,IND,231492
2024,JEF,52
2024,LPF,25554
2024,MGT,26
2024,NPA,2465931
2024,PSL,1520
2024,REP,4651587
